Skatt,Moms
Delsumma,Summa
You added %1 to your shopping cart,Du lade till %1 i varukorgen
"You added %1 to your <a href=""%2"">shopping cart</a>",Du lade till %1 i varukorgen
Tax,Moms
Mer information,Specifikation
Additional information,Specifikation
,
You must login or register to add items to your wishlist.,Du behöver logga in eller registrera ett konto för att lägga produkter i önskelistan.
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,Fel e-post eller lösenord.
Very Strong,Väldigt starkt
Enter Keyword or Item,
Update Wish List,Uppdatera önskelistan
Go to Wish List,Gå till önskelistan
Share Wish List,Dela önskelistan
Last Added,Nyheter
Best Seller Collection,Bästsäljare
has been added to your cart,är tillagd i varukorgen
Add to Cart,Lägg i varukorg
Cart Subtotal:,Totalt i varukorgen:
View Cart,Gå till varukorg
Visa och Ändra Varukorgen,Till varukorgen
Gå vidare till Kassan,Gå till kassan
Proceed to Checkout,Gå till kassan
